id,distribution,shape,cardinality,buffer,percentage
0,uniform,point,25000,0,0
1,gaussian,point,25000,0,0
2,diagonal,point,25000,0.0,0.0
3,sierpinski,point,25000,0,0
4,uniform,point,50000,0,0
5,gaussian,point,50000,0,0
6,diagonal,point,50000,0.0,0.0
7,sierpinski,point,50000,0,0
8,uniform,point,75000,0,0
9,gaussian,point,75000,0,0
10,diagonal,point,75000,0.0,0.0
11,sierpinski,point,75000,0,0
12,uniform,point,100000,0,0
13,gaussian,point,100000,0,0
14,diagonal,point,100000,0.0,0.0
15,sierpinski,point,100000,0,0
18,diagonal,point,25000,0.5,0.0
22,diagonal,point,50000,0.5,0.0
26,diagonal,point,75000,0.5,0.0
30,diagonal,point,100000,0.5,0.0
34,diagonal,point,25000,1.0,0.0
38,diagonal,point,50000,1.0,0.0
42,diagonal,point,75000,1.0,0.0
46,diagonal,point,100000,1.0,0.0
50,diagonal,point,25000,0.0,0.5
54,diagonal,point,50000,0.0,0.5
58,diagonal,point,75000,0.0,0.5
62,diagonal,point,100000,0.0,0.5
66,diagonal,point,25000,0.5,0.5
70,diagonal,point,50000,0.5,0.5
74,diagonal,point,75000,0.5,0.5
78,diagonal,point,100000,0.5,0.5
82,diagonal,point,25000,1.0,0.5
86,diagonal,point,50000,1.0,0.5
90,diagonal,point,75000,1.0,0.5
94,diagonal,point,100000,1.0,0.5
98,diagonal,point,25000,0.0,1.0
102,diagonal,point,50000,0.0,1.0
106,diagonal,point,75000,0.0,1.0
110,diagonal,point,100000,0.0,1.0
114,diagonal,point,25000,0.5,1.0
118,diagonal,point,50000,0.5,1.0
122,diagonal,point,75000,0.5,1.0
126,diagonal,point,100000,0.5,1.0
130,diagonal,point,25000,1.0,1.0
134,diagonal,point,50000,1.0,1.0
138,diagonal,point,75000,1.0,1.0
142,diagonal,point,100000,1.0,1.0
