distribution,resnet_mse,pointnet_mse,random_mse
diagonal,0.0217119621416923,0.009161156180447348,1.5391112398023092
gaussian,0.1911049612234228,0.023767286076511282,1.335433908076513
sierpinski,0.027634456766069442,0.015439942019347945,0.9754629562136289
uniform,0.0277044208811384,0.016419353270150556,1.3126349236720019
bit,0.3945446727362401,0.6478602663137882,1.1930528369372952
parcel,0.1845003875159549,0.17611803258114522,1.0403371142479625
weather,1.0401147354513085,1.0059403001195146,1.478323594479743
diagonal_large,0.05357819282014407,0.012813882606328647,1.4482220639274521
sierpinski_large,0.0229904678913601,0.014405474037230526,0.9460073068513998
gaussian_large,0.23708592859646327,0.03520780785240583,1.4581472772645327
uniform_large,0.0367878597467036,0.02750323136221078,1.5109459597918147
