distributions,labels,resnet_wmape,pointnet_wmape,random_wmape,resnet_weather_wmape,pointnet_weather_wmape
sierpinski_large,hotspots_16_min_val,0.06547770912830048,0.0675877168786665,0.8678463626720556,,
sierpinski_large,hotspots_16_min_x,0.09525554354124711,0.0722135720373459,0.6056539383839744,,
sierpinski_large,hotspots_16_min_y,0.12175059360232494,0.08786414971090208,0.8619036373158583,,
sierpinski_large,hotspots_16_max_val,0.02825586326534776,0.026971062418641098,0.29602875795542727,,
sierpinski_large,hotspots_16_max_x,0.06970174639840081,0.061102233662742325,0.6196275927219412,,
sierpinski_large,hotspots_16_max_y,0.10075788678173209,0.08177806644085354,0.7136315797641767,,
sierpinski_large,hotspots_32_min_val,0.06492095427340215,0.06494880374289447,0.8418015338167312,,
sierpinski_large,hotspots_32_min_x,0.0942063442952912,0.0735479740117774,0.5961463266596633,,
sierpinski_large,hotspots_32_min_y,0.12074035391447639,0.09277121824303265,0.82393180983366,,
sierpinski_large,hotspots_32_max_val,0.027215106221147475,0.024315755662047186,0.31743424789048846,,
sierpinski_large,hotspots_32_max_x,0.0691260266513646,0.05734871233891478,0.5778466360092744,,
sierpinski_large,hotspots_32_max_y,0.10195915629184814,0.08053921224382088,0.8061780879266376,,
sierpinski_large,hotspots_64_min_val,0.06436374531020721,0.06593456992115868,0.8283450208583041,,
sierpinski_large,hotspots_64_min_x,0.09369795259336114,0.07311558448083937,0.6622447858413278,,
sierpinski_large,hotspots_64_min_y,0.11991889325279269,0.0856209928618742,0.7998974504851787,,
sierpinski_large,hotspots_64_max_val,0.02576861564069478,0.02749881862442793,0.3277047902949269,,
sierpinski_large,hotspots_64_max_x,0.06644405452808347,0.05048731631638329,0.5262039706527935,,
sierpinski_large,hotspots_64_max_y,0.10112084900006092,0.07899830491734144,0.7375745830330803,,
sierpinski_large,k_values_0.025,0.5687115019884814,1.0420262882344742,41.607513388563795,,
sierpinski_large,k_values_0.05,0.48491050548300124,0.2613548182437402,11.785371590251085,,
sierpinski_large,k_values_0.1,0.21889960002773567,0.06446452391871915,4.166396897691383,,
sierpinski_large,k_values_0.25,0.10583763022298798,0.02505152594915315,0.8539315095438955,,
sierpinski_large,box_counts_e0,0.009425787288423542,0.009805008685346691,0.19504704415033702,,
sierpinski_large,box_counts_e2,0.0061969973877180175,0.00568012822848454,0.15799818339499977,,
