model,params,homogeneity,completeness,v_measure
pointnet_not_param,"(0.05, 200, 50)",0.951086787440489,0.9476742198224787,0.9488366294552604
pointnet_param,"(0.02, 200.0, 5.0)",0.7850730141186959,0.7143607729708378,0.7408590995900155
pointnet_param,"(0.03, 50.0, 5.0)",0.7339062398430484,0.6829208576333425,0.6972184790905992
pointnet_param,"(0.03, 200.0, 20.0)",0.7963155212979497,0.8091412991774245,0.7961501692407693
pointnet_param,"(0.05, 100.0, 50.0)",0.8536360079869164,0.8672127789094441,0.8585854178227869
pointnet_param,"(0.05, 200, 50)",0.8528904847287564,0.8764433939625573,0.8625574067313034
pointnet_param,mean,0.8043642535950732,0.7900158205307213,0.7910741144950949
unet_not_param,"(0.05, 200, 50)",0.863647153908043,0.9373590552521607,0.8957293556603209
unet_param,"(0.02, 200.0, 5.0)",0.850633087529125,0.665178206194593,0.7423277473376977
unet_param,"(0.03, 50.0, 5.0)",0.8100172058731661,0.6872561108088426,0.7381842351262757
unet_param,"(0.03, 200.0, 20.0)",0.8324720872668625,0.7894633960555771,0.8057633593382089
unet_param,"(0.05, 100.0, 50.0)",0.8319032763421019,0.8719962984063664,0.8474482377806593
unet_param,"(0.05, 200, 50)",0.849313108883833,0.8913942962171886,0.8665903781119383
unet_param,mean,0.8348677531790177,0.7810576615365136,0.800062791538956
