Label,Model,"(-0.001, 0.1]","(0.1, 0.2]","(0.2, 0.3]","(0.3, 0.4]","(0.4, 0.5]","(0.5, 0.6]","(0.6, 0.7]","(0.7, 0.8]","(0.8, 0.9]","(0.9, 1.0]",Total
California,PointNet,0.92,0.88,0.69,0.68,0.67,0.66,0.78,0.79,0.68,,0.77
California,ResNet,0.86,0.89,0.97,0.95,0.87,0.85,0.81,0.79,1.0,,0.88
Florida,PointNet,0.95,0.98,0.81,0.91,0.57,0.45,0.57,,,,0.8
Florida,ResNet,1.0,0.75,0.97,0.97,0.78,0.74,1.0,,,,0.89
Italy,PointNet,0.88,0.86,0.82,0.82,0.77,0.76,0.72,0.78,0.69,,0.78
Italy,ResNet,0.96,0.94,0.94,0.9,0.83,0.8,0.79,0.83,0.99,,0.89
New York,PointNet,0.92,0.81,0.91,0.71,0.82,0.71,0.5,0.88,0.94,0.12,0.51
New York,ResNet,1.0,1.0,0.95,0.95,0.82,1.0,0.0,0.83,1.0,1.0,0.96
United Kingdom,PointNet,0.89,0.93,0.88,0.91,0.72,0.59,0.69,0.88,0.8,0.21,0.72
United Kingdom,ResNet,1.0,0.95,0.93,0.92,0.85,0.8,0.91,0.98,1.0,1.0,0.93
